Date,Close,High,Low,Open,Volume,Daily_Return,Lag_1,Lag_3,Lag_7,Lag_30,MA_7,MA_30,EMA_7,EMA_30,ROC_7,ROC_30,Rolling_STD_7,Historical_Volatility_7,Historical_Volatility_30,Price_Range
2020-09-03,10245.296875,11443.0224609375,10182.46484375,11407.19140625,31927261555.0,-0.10239476124641311,11414.0341796875,11680.8203125,11323.3974609375,11205.892578125,11438.785853794643,11652.952701822916,11280.033926368456,11377.68486632769,-0.09520999237699113,-0.08572237297724739,556.1885144067662,0.8803881187487667,0.539542477204687,1260.5576171875
2020-09-04,10511.8134765625,10663.919921875,10207.9404296875,10230.365234375,29965130374.0,0.02601355576262887,10245.296875,11970.478515625,11542.5,11747.0224609375,11291.544921875,11611.779069010418,11087.978813916967,11321.822196020259,-0.08929491214533247,-0.10515081489649425,652.2826459376295,0.8965596611722263,0.5182815691873425,455.9794921875
2020-09-05,10169.5673828125,10581.5712890625,9946.67578125,10512.5302734375,44916565292.0,-0.03255823502891142,10511.8134765625,11414.0341796875,11506.865234375,11779.7734375,11100.502371651786,11558.105533854166,10858.37595614085,11247.483175813308,-0.11621739060326586,-0.1366924468650249,764.8339547862082,0.9033988306823704,0.5276126127436878,634.8955078125
2020-09-06,10280.3515625,10353.927734375,10056.8857421875,10167.216796875,37071460174.0,0.010893696409813414,10169.5673828125,10245.296875,11711.505859375,11601.47265625,10896.0517578125,11514.0681640625,10713.869857730637,11185.08758785761,-0.12220070707042074,-0.1138752926369464,765.5659762131341,0.888744954862346,0.5288224222027402,297.0419921875
2020-09-07,10369.5634765625,10399.1533203125,9916.4931640625,10280.998046875,33703098409.0,0.00867790498409815,10280.3515625,10511.8134765625,11680.8203125,11754.0458984375,10708.72935267857,11467.91875,10627.793262438603,11132.473129064378,-0.11225725598520542,-0.11778773316335645,699.0765367280545,0.9038519051199397,0.5272628300543852,482.66015625
2020-09-08,10131.5166015625,10414.775390625,9945.1103515625,10369.306640625,33430927462.0,-0.022956306264775628,10369.5634765625,10169.5673828125,11970.478515625,11675.7392578125,10446.0205078125,11416.444661458334,10503.724097219578,11067.895288580386,-0.15362476208967868,-0.13225909059391905,445.4024537578401,0.8364232397569268,0.5314278694894226,469.6650390625
2020-09-09,10242.34765625,10350.54296875,10017.2509765625,10134.1513671875,24128292755.0,0.010939236349907233,10131.5166015625,10280.3515625,11414.0341796875,11878.111328125,10278.63671875,11361.919205729168,10438.379986977183,11014.634151010685,-0.10265314655554847,-0.13771243817203815,128.1996532244763,0.8398098766386216,0.528608078854072,333.2919921875
2020-09-10,10363.138671875,10503.912109375,10238.1357421875,10242.330078125,54406443211.0,0.011793293850096198,10242.34765625,10369.5634765625,10245.296875,11410.525390625,10295.471261160714,11327.006315104167,10419.569658201637,10972.602184614836,0.011502038282809712,-0.09179127891959671,130.80273232026155,0.4047554276671736,0.516164594773431,265.7763671875
2020-09-11,10400.9150390625,10434.9228515625,10140.8369140625,10369.0283203125,45201121775.0,0.0036452631180188266,10363.138671875,10131.5166015625,10511.8134765625,11584.9345703125,10279.628627232143,11287.538997395834,10414.906003416852,10935.7191429663,-0.010549886349036086,-0.1022033852728148,104.2542097306385,0.35227619636388696,0.5126053424597353,294.0859375
2020-09-12,10442.1708984375,10578.837890625,10292.38671875,10409.861328125,36750077324.0,0.003966560559340859,10400.9150390625,10242.34765625,10169.5673828125,11784.1376953125,10318.571986607143,11242.806770833333,10421.722227172015,10903.877320738637,0.02680581241692992,-0.11387908318559514,107.16347108420187,0.234624454233974,0.5080287900663462,286.451171875
